Index,ID,Hand,XPos,YPos,ZPos,Time
0,NULL,Right,-0.2632814,1.238598,-0.0929051,28.22776
0,NULL,Left,-0.4850539,1.272304,-0.2735361,28.67228
0,NULL,Right,-0.2532883,1.203794,-0.09888617,28.67228
0,NULL,Left,-0.4885044,1.267008,-0.2723948,29.12604
0,NULL,Right,-0.2524511,1.179482,-0.1013646,29.12604
0,NULL,Left,-0.5081186,1.252089,-0.2858444,29.58879
0,NULL,Right,-0.2364578,1.231192,-0.02645072,29.58879
0,NULL,Left,-0.5212632,1.253837,-0.2842673,30.03674
0,NULL,Right,-0.2569388,1.339742,0.1136118,30.03674
0,NULL,Left,-0.5229866,1.249,-0.2739238,30.50325
0,NULL,Right,-0.2561835,1.335866,0.1113877,30.50325
0,NULL,Left,-0.504621,1.234363,-0.2652473,30.9479
0,NULL,Right,-0.19514,1.140414,-0.02505968,30.9479
0,NULL,Left,-0.5231442,1.202013,-0.3647221,31.39285
0,NULL,Right,-0.4263427,1.186697,-0.2039704,31.39285
0,NULL,Left,-0.5354411,1.235914,-0.5201705,31.83781
0,NULL,Right,-0.5415785,1.245661,-0.3810034,31.83781
0,NULL,Left,-0.5366129,1.23617,-0.5050264,32.28331
0,NULL,Right,-0.5161042,1.247676,-0.3742225,32.28331
0,NULL,Left,-0.5108559,1.228533,-0.5385015,32.73841
0,NULL,Right,-0.5002103,1.246879,-0.4338361,32.73841
0,NULL,Left,-0.4242083,1.232062,-0.727198,33.18426
0,NULL,Right,-0.4469804,1.259159,-0.6214857,33.18426
0,NULL,Left,-0.3986308,1.20845,-0.8104309,33.63877
0,NULL,Right,-0.4297846,1.261394,-0.6777018,33.63877
0,NULL,Left,-0.3944882,1.209852,-0.755905,34.08264
0,NULL,Right,-0.4115636,1.270708,-0.6215898,34.08264
0,NULL,Left,-0.391561,1.200758,-0.7173975,34.53736
0,NULL,Right,-0.385316,1.26757,-0.5798845,34.53736
0,NULL,Left,-0.3895448,1.198263,-0.7015153,35.00071
0,NULL,Right,-0.3605492,1.263175,-0.5577196,35.00071
0,NULL,Left,-0.3932137,1.192506,-0.6931501,35.4531
0,NULL,Right,-0.3620858,1.247827,-0.5469933,35.4531
0,NULL,Left,-0.4011709,1.184341,-0.6810991,35.91488
0,NULL,Right,-0.368821,1.239152,-0.5327267,35.91488
0,NULL,Left,-0.436717,1.179005,-0.6442527,36.38157
0,NULL,Right,-0.4196043,1.228179,-0.4844449,36.38157
0,NULL,Left,-0.52765,1.196614,-0.6287774,36.83583
0,NULL,Right,-0.4491733,1.182313,-0.3691775,36.83583
0,NULL,Left,-0.6587024,1.392122,-0.8720009,37.29132
0,NULL,Right,-0.4337377,1.153601,-0.3587432,37.29132
0,NULL,Left,-0.7543512,1.424237,-0.9665322,37.74043
0,NULL,Right,-0.4335217,1.147499,-0.3979186,37.74043
0,NULL,Left,-0.7173228,1.367442,-0.7241743,38.1912
0,NULL,Right,-0.4116473,1.184674,-0.3627172,38.1912
0,NULL,Left,-0.5408069,1.303929,-0.5081327,38.64709
0,NULL,Right,-0.310708,1.247789,-0.2756245,38.64709
0,NULL,Left,-0.4943594,1.257952,-0.482812,39.09254
0,NULL,Right,-0.2587441,1.269853,-0.1985194,39.09254
0,NULL,Left,-0.5156556,1.21367,-0.4785684,39.54813
0,NULL,Right,-0.2453613,1.178149,-0.08584606,39.54813
0,NULL,Left,-0.5309169,1.202747,-0.4628562,40.00914
0,NULL,Right,-0.2006711,1.125185,-0.08429287,40.00914
0,NULL,Left,-0.5288904,1.197062,-0.4609651,40.45897
0,NULL,Right,-0.1844606,1.142387,-0.08722062,40.45897
0,NULL,Left,-0.5129882,1.185623,-0.5250093,40.90301
0,NULL,Right,-0.3249406,1.201392,-0.2086694,40.90301
0,NULL,Left,-0.4870782,1.1797,-0.6097063,41.39116
0,NULL,Right,-0.4363197,1.214804,-0.3051072,41.39116
0,NULL,Left,-0.5010096,1.131667,-0.5121858,41.89217
0,NULL,Right,-0.3030373,1.165204,-0.1845855,41.89217
0,NULL,Left,-0.4460557,1.137831,-0.3123034,42.33575
0,NULL,Right,-0.006381437,1.218527,-0.2844613,42.33575
0,NULL,Left,-0.4864618,1.166944,-0.3522181,42.78183
0,NULL,Right,0.09660172,1.372048,-0.07804807,42.78183
0,NULL,Left,-0.5328162,1.166919,-0.5479493,43.23649
0,NULL,Right,-0.5173205,1.263587,-0.1369071,43.23649
0,NULL,Left,-0.4788086,1.15557,-0.6562836,43.69159
0,NULL,Right,-0.7593417,1.334959,-0.481322,43.69159
0,NULL,Left,-0.4678201,1.14705,-0.6791961,44.14922
0,NULL,Right,-0.7808357,1.357655,-0.5833708,44.14922
0,NULL,Left,-0.4738377,1.143299,-0.6104503,44.61537
0,NULL,Right,-0.6175992,1.113738,-0.2799496,44.61537
0,NULL,Left,-0.440477,1.12611,-0.567489,45.06014
0,NULL,Right,-0.5965545,1.136715,-0.2965547,45.06014
0,NULL,Left,-0.4034411,1.125602,-0.5495963,45.50478
0,NULL,Right,-0.530467,1.294697,-0.5376927,45.50478
0,NULL,Left,-0.3894778,1.130572,-0.5611058,45.94972
0,NULL,Right,-0.3090813,1.335249,-0.7754436,45.94972
0,NULL,Left,-0.3828442,1.118796,-0.5906069,46.40497
0,NULL,Right,-0.3021897,1.373838,-0.7337549,46.40497
0,NULL,Left,-0.3907559,1.129634,-0.5976747,46.87171
0,NULL,Right,-0.2488165,1.380602,-0.8423927,46.87171
0,NULL,Left,-0.4251123,1.12417,-0.5670211,47.31601
0,NULL,Right,-0.3712097,1.362984,-0.7731977,47.31601
0,NULL,Left,-0.49876,1.146013,-0.3348041,47.76036
0,NULL,Right,-0.387753,1.297895,-0.2983955,47.76036
0,NULL,Left,-0.4940315,1.213143,-0.2316479,48.21666
0,NULL,Right,-0.2622374,1.243342,-0.05700465,48.21666
0,NULL,Left,-0.5304111,1.238876,-0.310322,48.67272
0,NULL,Right,-0.4145733,1.231946,-0.135693,48.67272
0,NULL,Left,-0.576543,1.180782,-0.3721675,49.12696
