UserID,ObjectName,InterInit,InterEnd
1235,Uranus,154.0412,154.183
1235,BaseFloor,154.183,154.2061
1235,Saturn,154.2061,154.3067
1235,BaseFloor,154.3067,154.5411
1235,Jupiter,154.5411,155.4431
1235,BaseFloor,155.4431,155.784
1235,Jupiter,155.784,158.2208
1235,BaseFloor,158.2208,159.7308
1235,Saturn,159.8425,159.8881
1235,Jupiter,159.9407,159.986
1235,BaseFloor,161.6407,161.7634
1235,Sun,161.7634,162.0636
1235,BaseFloor,162.0636,163.1407
1235,Mars,163.1407,163.1848
1235,BaseFloor,163.1848,163.5292
1235,BaseFloor,163.8656,163.8861
1235,Sun,163.8861,164.5829
1235,Sun,164.9805,166.0478
1235,BaseFloor,166.5487,166.9494
1235,Mars,166.9494,167.026
1235,BaseFloor,167.026,167.1267
1235,Earth&Moon,167.1267,167.4701
1235,BaseFloor,167.4701,168.5045
1235,Earth&Moon,168.5045,168.9491
1235,[VRTK][AUTOGEN][Controller][NearTouch][CollidersContainer],168.9491,169.1277
1235,Earth&Moon,169.1277,172.1068
1235,BaseFloor,172.1068,172.4401
1235,Earth&Moon,172.4401,174.6264
1235,BaseFloor,174.6264,176.7011
1235,Earth&Moon,176.8897,178.7447
1235,Mars,178.7447,178.9869
1235,BaseFloor,178.9869,181.0902
1235,Mars,181.0902,181.1679
1235,BaseFloor,181.1679,181.2238
1235,Earth&Moon,181.2238,181.8899
1235,Mars,181.8899,182.3451
1235,Earth&Moon,182.3451,182.3887
